muestra_id,sitio,horizon,soc_obs,soc_pred_loocv,residual_loocv,abs_error_loocv
1,Sheefer,Bo1,0.47,0.7659299999999973,-0.29592999999999736,0.29592999999999736
2,Sheefer,Bo2,0.29,0.7657300000000061,-0.47573000000000615,0.47573000000000615
3,Sheefer,AB,1.05,0.8338900000000046,0.21610999999999547,0.21610999999999547
4,Sheefer,A,1.43,1.020359999999997,0.4096400000000029,0.4096400000000029
5,Las Nubes,Ap,0.8,1.2284699999999937,-0.4284699999999937,0.4284699999999937
7,Las Nubes,Bw,0.54,0.8459700000000057,-0.3059700000000056,0.3059700000000056
9,Carimagua,Ap,1.6,1.0556499999999895,0.5443500000000105,0.5443500000000105
10,Carimagua,AB,1.07,0.722949999999999,0.3470500000000011,0.3470500000000011
